{Acanthoscurria_cioides, Pterocles_rufus} {Bradypodion_grunniens, Nyroca_monedula}
{Acanthoscurria_cioides, Trapelus_mexicana} {Bradypodion_grunniens, Nyroca_monedula}
{Acanthoscurria_cioides, Rangifer_nigrolineatus} {Ophisops_mysticetus, Oxyura_medici}
{Ethmostigmus_salamandra, Pterocles_rufus} {Ophisops_mysticetus, Oxyura_medici}
{Ethmostigmus_salamandra, Rangifer_nigrolineatus} {Ophisops_mysticetus, Oxyura_medici}
{Gallinago_leporosum, Pterocles_rufus} {Ophisops_mysticetus, Oxyura_medici}
{Gallinago_leporosum, Rangifer_nigrolineatus} {Ophisops_mysticetus, Oxyura_medici}
{Lampropeltis_subglobosa, Rangifer_nigrolineatus} {Ophisops_mysticetus, Oxyura_medici}
{Pterocles_rufus, Ptyodactylus_valliceps} {Ophisops_mysticetus, Oxyura_medici}
{Pterocles_rufus, Rangifer_nigrolineatus} {Ophisops_mysticetus, Oxyura_medici}
{Gypaetus_carinata, Nyroca_monedula} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Gypaetus_carinata, Ptyodactylus_valliceps} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Gypaetus_carinata, Trapelus_mexicana} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Nyroca_monedula, Ptyodactylus_valliceps} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Ptyodactylus_valliceps, Trapelus_mexicana} {Gallinago_leporosum, Opheodrys_fimbriatus}
{Ophisops_mysticetus, Oxyura_medici} {Acanthoscurria_cioides, Ardea_macrops}
{Ophisops_mysticetus, Oxyura_medici} {Acanthoscurria_cioides, Chlamydotis_nelsonii}
{Ophisops_mysticetus, Oxyura_medici} {Acanthoscurria_cioides, Pterocles_rufus}
{Ophisops_mysticetus, Oxyura_medici} {Allobates_similis, Ardea_macrops}
{Ophisops_mysticetus, Oxyura_medici} {Allobates_similis, Chlamydotis_nelsonii}
{Ophisops_mysticetus, Oxyura_medici} {Allobates_similis, Pterocles_rufus}
{Ophisops_mysticetus, Oxyura_medici} {Ardea_macrops, Chlamydotis_nelsonii}
{Ophisops_mysticetus, Oxyura_medici} {Ardea_macrops, Phoca_bimaculata}
{Ophisops_mysticetus, Oxyura_medici} {Bradypodion_grunniens, Chlamydotis_nelsonii}
{Ophisops_mysticetus, Oxyura_medici} {Chlamydotis_nelsonii, Holaspis_subcinctus}
{Ophisops_mysticetus, Oxyura_medici} {Chlamydotis_nelsonii, Nyroca_monedula}
{Ophisops_mysticetus, Oxyura_medici} {Chlamydotis_nelsonii, Phoca_bimaculata}
{Ophisops_mysticetus, Oxyura_medici} {Chlamydotis_nelsonii, Pterocles_rufus}
